flower,type,href,height,weight,color,country,plantation,count_in_pack,availability,price,price_per_pack
Гвоздика,Tr L Pink Tessino кустовая,https://bbflowers.ru/catalog/gvozdika/gvozdika_kustovaya/gvozdika_tr_l_pink_tessino_kustovaya_60sm/,60 см,-,розовый,Голландия,-,10,30,49.50,495.00
Хризантема,T Rihanna кустовая ,https://bbflowers.ru/catalog/hrizantema/hrizantema_kustovaya/hrizantema_t_rihanna_kustovaya_70sm/,70 см,80 гр,розовый,Голландия,-,5,40,49.50,247.50
Гвоздика,Tr Blanquita кустовая,https://bbflowers.ru/catalog/gvozdika/gvozdika_kustovaya/gvozdika_tr_blanquita_kustovaya_55sm/,55 см,-,белый,Голландия,-,10,40,49.50,495.00
Астильба,Ar Erika,https://bbflowers.ru/catalog/ekzotika/astilba_ar_erika_70sm/,60 см,-,розовый,Голландия,-,10,10,49.50,495.00
Гвоздика,St Romance одноголовая,https://bbflowers.ru/catalog/gvozdika/gvozdika_odnogolovaya/gvozdika_st_romance_odnogolovaya_60sm/,70 см,-,розовый,Голландия,-,20,30,49.50,990.00
Астильба,Ar Paul Gaarde,https://bbflowers.ru/catalog/ekzotika/astilba_ar_paul_gaarde_60sm/,60 см,-,красный,Голландия,-,10,50,49.50,495.00
Хризантема,T Mexicano кустовая,https://bbflowers.ru/catalog/hrizantema/hrizantema_kustovaya/hrizantema_t_mexicano_kustovaya_70sm/,70 см,-,бордовый,Голландия,-,5,50,54.50,272.50
Хризантема,T Katinka кустовая ,https://bbflowers.ru/catalog/hrizantema/hrizantema_kustovaya/hrizantema_t_katinka_kustovaya_70sm/,70 см,80 гр,розовый,Голландия,-,5,10,54.50,272.50
Хризантема,T Celebrate кустовая ,https://bbflowers.ru/catalog/hrizantema/hrizantema_kustovaya/hrizantema_t_celebrate_kustovaya_70sm/,70 см,90 гр,жёлтый,Голландия,-,5,25,54.50,272.50
Хризантема,T Bontempi кустовая,https://bbflowers.ru/catalog/hrizantema/hrizantema_kustovaya/hrizantema_t_bontempi_kustovaya_70sm/,70 см,85 гр,красный,Голландия,-,5,65,58.50,292.50
Гвоздика,St Apple Tea одноголовая,https://bbflowers.ru/catalog/gvozdika/gvozdika_odnogolovaya/gvozdika_st_apple_tea_odnogolovaya_60sm/,60 см,-,персиковый,Голландия,-,20,20,58.50,1 170.00
Роза,Gr Cappuccino одноголовая,https://bbflowers.ru/catalog/roza/roza_keniya/roza_gr_cappuccino_odnogolovaya_40sm/,40 см,-,карамель,Голландия,-,10,10,58.50,585.00
Роза,Gr Kahala одноголовая пионовидная,https://bbflowers.ru/catalog/roza/roza_keniya/roza_gr_kahala_odnogolovaya_pionovidnaya_50sm/,50 см,-,карамель,Голландия,-,10,70,58.50,585.00
Хризантема,T Memphis Pink кустовая,https://bbflowers.ru/catalog/hrizantema/hrizantema_kustovaya/hrizantema_t_memphis_pink_kustovaya_70sm/,70 см,80 гр,розовый,Голландия,-,5,20,58.50,292.50
Гвоздика,St Sky Blue одноголовая,https://bbflowers.ru/catalog/gvozdika/gvozdika_odnogolovaya/gvozdika_st_sky_blue_odnogolovaya_60sm/,60 см,-,синий,Голландия,-,20,20,58.50,1 170.00
Роза,Tr Summer Dance кустовая ,https://bbflowers.ru/catalog/roza/roza_kustovaya/roza_tr_summer_dance_kustovaya_60sm/,60 см,-,красно-кремовый,Голландия,-,10,30,58.50,585.00
Гвоздика,St Pink Emotion одноголовая,https://bbflowers.ru/catalog/gvozdika/gvozdika_odnogolovaya/gvozdika_st_pink_emotion_odnogolovaya_60sm/,60 см,-,крашенный красный,Голландия,-,20,40,58.50,1 170.00
Гвоздика,St Clearwater одноголовая,https://bbflowers.ru/catalog/gvozdika/gvozdika_odnogolovaya/gvozdika_st_clearwater_odnogolovaya_60sm/,60 см,-,фиолетовый,Голландия,-,20,100,58.50,1 170.00
Роза,Tr Gra Trendsetter кустовая ,https://bbflowers.ru/catalog/roza/roza_kustovaya/roza_tr_gra_trendsetter_kustovaya_50sm/,50 см,-,коралловый,Кения,-,10,30,58.50,585.00
